filename,extension,mime_type,related_to_sdaia_quebook,quebook_question_id,classification,title,document_number,keywords,bytes
0001_related_q006_National_Reputation_Risk_Watchlist.rtf,rtf,application/rtf,True,6,Top Secret,National Reputation Risk Watchlist,FCT-2026-79F020,media exposure; corruption; international criticism; censorship; scandal; bribery; money laundering; sanctions,2218
0002_unrelated_q102_IT_Helpdesk_Ticket_Summary.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,False,,Internal,IT Helpdesk Ticket Summary,FCT-2026-568503,password reset; laptop docking; printer jam; VPN latency,6858
0003_unrelated_q102_IT_Helpdesk_Ticket_Summary.xml,xml,text/xml,False,,Internal,IT Helpdesk Ticket Summary,FCT-2026-7A2179,VPN latency; password reset; laptop docking; printer jam,1703
0004_related_q006_National_Reputation_Risk_Watchlist.log,log,text/log,True,6,Top Secret,National Reputation Risk Watchlist,FCT-2026-6DD9F4,media exposure; censorship; bribery; sanctions; corruption; human rights violation; money laundering; international criticism,1959
0005_unrelated_q105_Marketing_Campaign_Retro.tsv,tsv,text/tab-separated-values,False,,Internal,Marketing Campaign Retro,FCT-2026-D590C1,click-through rate; brand awareness; newsletter open rate; social media post,540
0006_unrelated_q109_Weather_Outlook_for_Field_Picnic.svg,svg,image/svg+xml,False,,Public,Weather Outlook for Field Picnic,FCT-2026-7BE943,UV index; light breeze; picnic blankets; sunny intervals,713
0007_unrelated_q108_Procurement_Stationery_Order.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,False,,Internal,Procurement Stationery Order,FCT-2026-CE9C10,whiteboard markers; sticky notes; toner cartridge; notebooks,37733
0008_unrelated_q103_Employee_Wellness_Newsletter.md,md,text/markdown,False,,Public,Employee Wellness Newsletter,FCT-2026-CE9D58,yoga session; step challenge; ergonomic chair; hydration tips,2038
0009_unrelated_q109_Weather_Outlook_for_Field_Picnic.mht,mht,multipart/related,False,,Public,Weather Outlook for Field Picnic,FCT-2026-DCE196,sunny intervals; picnic blankets; light breeze; UV index,2089
0010_unrelated_q109_Weather_Outlook_for_Field_Picnic.csv,csv,text/csv,False,,Public,Weather Outlook for Field Picnic,FCT-2026-166C5A,picnic blankets; sunny intervals; UV index; light breeze,698
0011_related_q015_Vital_National_Installation_Status_Sheet.json,json,application/json,True,15,Secret,Vital National Installation Status Sheet,FCT-2026-F7C3A2,desalination plant; military base; government facility; power station; oil refinery; substation; airport; seaport,2530
0012_unrelated_q104_Facilities_Maintenance_Schedule.txt,txt,text/plain,False,,Internal,Facilities Maintenance Schedule,FCT-2026-6FD10A,HVAC filter; elevator inspection; parking lot paint; lighting upgrade,1967
0013_unrelated_q107_Sports_Club_Training_Roster.zip,zip,application/zip,False,,Public,Sports Club Training Roster,FCT-2026-062331,football drills; injury recovery; coach notes; attendance sheet,1150
